index,x_m,y_m,pixel_x,pixel_y
0,178.88181818181818,-72.16363636363636,2811.0,1134.0
1,75.85454545454544,-72.22727272727272,1192.0,1135.0
2,75.85454545454544,-75.4090909090909,1192.0,1185.0
3,57.39999999999999,-75.53636363636363,902.0,1187.0
4,57.39999999999999,-69.23636363636363,902.0,1088.0
5,49.063636363636355,-69.23636363636363,771.0,1088.0
6,48.809090909090905,-74.13636363636363,767.0,1165.0
7,31.118181818181814,-74.32727272727271,489.0,1168.0
8,30.67272727272727,-65.22727272727272,482.0,1025.0
9,30.354545454545452,-86.54545454545453,477.0,1360.0
10,31.245454545454542,-75.53636363636363,491.0,1187.0
11,45.563636363636355,-75.4090909090909,716.0,1185.0
12,45.75454545454545,-76.36363636363636,719.0,1200.0
13,76.42727272727272,-76.55454545454545,1201.0,1203.0
14,76.42727272727272,-73.18181818181817,1201.0,1150.0
15,160.68181818181816,-73.37272727272726,2525.0,1153.0
16,161.3181818181818,-83.99999999999999,2535.0,1320.0
17,161.89090909090908,-73.37272727272726,2544.0,1153.0
18,178.88181818181818,-73.3090909090909,2811.0,1152.0
